first,last,frequency,prob
a,dark,27,4.30828147438966E-4
a,gorgeous,46,7.340035104515717E-4
a,nuisance,5,7.978299026647519E-5
a,combination,17,2.712621669060156E-4
a,lb,6,9.573958831977022E-5
a,couple,719,0.011472794000319132
a,project,22,3.510451571724908E-4
a,phone,436,0.006957076751236637
a,half,124,0.0019786181586085847
a,huge,402,0.006414552417424605
a,week,317,0.005058241582894527
a,type,20,3.1913196106590075E-4
a,set,189,0.003015797032072762
a,liability,5,7.978299026647519E-5
a,group,76,0.0012127014520504228
a,difference,147,0.0023456199138343703
a,backup,76,0.0012127014520504228
a,larger,146,0.0023296633157810754
a,newer,38,6.063507260252114E-4
